id;device;location;date
1;Administrator holistic engine;disintermediate blue;2024-11-28T05:24:26
2;Cayman compress;wireless;2024-11-28T14:28:44
3;Rubber De-engineered;product Manors Associate;2024-11-28T11:28:08
4;revolutionize Plastic;bus;2024-11-28T00:39:49
5;Haiti payment;Right-sized Corners;2024-11-28T01:38:37
6;e-enable card optimize;Egyptian;2024-11-28T04:03:09
7;Shirt Stand-alone conglomeration;Assistant Response;2024-11-28T11:37:32
8;black;Nakfa responsive;2024-11-27T21:47:45
9;Compatible National Concrete;Cambridgeshire Indiana pixel;2024-11-28T12:04:40
10;sensor Multi-tiered;firewall protocol Leone;2024-11-28T10:14:21
